Case ID;Activity;Resource;Complete Timestamp;Variant;Variant index;concept:name;impact;lifecycle:transition;org:group;org:role;organization country;organization involved;product;resource country;Duration
1-354376900;Accepted-In Progress;Tomas;2011/09/02 00:16:15.000;Variant 74;74;Accepted;Medium;In Progress;Org line A2;A2_2;cn;M1 2nd;PROD753;Sweden;48604298.0
1-357087417;Accepted-In Progress;Ewa;2011/12/28 16:01:17.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD98;POLAND;57643223.0
1-359215498;Accepted-Assigned;Damian;2011/04/11 09:09:41.000;Variant 45;45;Accepted;Medium;Assigned;Org line A2;A2_2;se;G357 2nd;PROD47;POLAND;34378850.0
1-359215498;Accepted-Assigned;Katarzyna;2011/04/11 09:11:23.000;Variant 45;45;Accepted;Medium;Assigned;Org line A2;A2_2;se;G357 2nd;PROD47;POLAND;102.0
1-359215498;Accepted-Wait;Katarzyna;2011/11/28 08:21:08.000;Variant 45;45;Accepted;Medium;Wait;Org line A2;A2_2;se;G357 2nd;PROD47;POLAND;19955385.0
1-360464815;Accepted-In Progress;Panigrahy;2011/06/09 11:37:15.000;Variant 7;7;Accepted;Medium;In Progress;Org line A2;D_1;in;L50 3rd;PROD611;Sweden;36270270.0
1-365702595;Accepted-In Progress;Ewa;2011/12/30 10:00:16.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD96;POLAND;54483982.0
1-369693874;Accepted-In Progress;Ewa;2011/12/20 22:24:04.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD97;POLAND;52107100.0
1-376424233;Accepted-In Progress;Gustav;2011/08/26 14:14:03.000;Variant 18;18;Accepted;High;In Progress;Org line G4;;se;S30 2nd;PROD412;Sweden;39324775.0
1-380297615;Accepted-In Progress;Tomas;2011/09/03 07:38:14.000;Variant 17;17;Accepted;Medium;In Progress;Org line A2;A2_2;cn;M1 2nd;PROD287;Sweden;35417180.0
1-380392616;Queued-Awaiting Assignment;Carolyn;2011/02/09 12:05:52.000;Variant 54;54;Queued;Medium;Awaiting Assignment;Org line G3;;us;G199 3rd;PROD98;USA;13829370.0
1-380392616;Accepted-In Progress;Padmanabha;2011/02/16 11:53:01.000;Variant 54;54;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD98;Sweden;604029.0
1-380392616;Accepted-Assigned;Carolyn;2011/02/16 11:53:25.000;Variant 54;54;Accepted;Medium;Assigned;Org line G3;;us;G199 3rd;PROD98;USA;24.0
1-380632889;Accepted-Assigned;Ingemar;2011/06/27 12:22:34.000;Variant 67;67;Accepted;High;Assigned;Org line A2;A2_3;se;S35 2nd;PROD551;Sweden;16941039.0
1-380632889;Accepted-Wait;Fredrik;2011/06/27 12:31:34.000;Variant 67;67;Accepted;High;Wait;Org line A2;A2_3;se;S35 2nd;PROD551;Sweden;540.0
1-380654568;Accepted-In Progress;Ewa;2011/12/30 11:09:26.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD98;POLAND;48541195.0
1-382209384;Accepted-In Progress;Tomas;2011/09/03 07:46:51.000;Variant 20;20;Accepted;Medium;In Progress;Org line A2;A2_2;se;M1 2nd;PROD681;Sweden;37733580.0
1-382209384;Accepted-Assigned;Niklas;2011/11/14 16:10:10.000;Variant 20;20;Accepted;Medium;Assigned;Org line A2;A2_2;se;G167 2nd;PROD681;Sweden;6250999.0
1-388028918;Queued-Awaiting Assignment;Hannes;2011/04/12 16:00:23.000;Variant 57;57;Queued;Medium;Awaiting Assignment;Org line A2;A2_2;us;G21 2nd;PROD97;Sweden;22428427.0
1-388028918;Accepted-Assigned;Jayalakshmi;2011/04/12 16:00:40.000;Variant 57;57;Accepted;Medium;Assigned;Org line A2;A2_2;us;G21 2nd;PROD97;INDIA;17.0
1-388028918;Accepted-Wait;Jayalakshmi;2011/04/19 12:57:10.000;Variant 57;57;Accepted;Medium;Wait;Org line A2;A2_2;us;G21 2nd;PROD97;INDIA;593790.0
1-388028918;Queued-Awaiting Assignment;Carolyn;2011/05/18 11:32:01.000;Variant 57;57;Queued;Medium;Awaiting Assignment;Org line G3;;us;G199 3rd;PROD97;USA;2500491.0
1-388028918;Accepted-In Progress;Padmanabha;2011/05/18 12:27:24.000;Variant 57;57;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD97;Sweden;3323.0
1-388028918;Accepted-Assigned;Carolyn;2011/05/18 12:27:30.000;Variant 57;57;Accepted;Medium;Assigned;Org line G3;;us;G199 3rd;PROD97;USA;6.0
1-390819078;Queued-Awaiting Assignment;Hannes;2011/04/12 15:50:34.000;Variant 57;57;Queued;Medium;Awaiting Assignment;Org line A2;A2_2;us;G21 2nd;PROD97;Sweden;21084100.0
1-390819078;Accepted-Assigned;Jayalakshmi;2011/04/12 15:50:53.000;Variant 57;57;Accepted;Medium;Assigned;Org line A2;A2_2;us;G21 2nd;PROD97;INDIA;19.0
1-390819078;Accepted-Wait;Jayalakshmi;2011/04/19 12:57:14.000;Variant 57;57;Accepted;Medium;Wait;Org line A2;A2_2;us;G21 2nd;PROD97;INDIA;594381.0
1-390819078;Queued-Awaiting Assignment;Carolyn;2011/04/28 14:16:11.000;Variant 57;57;Queued;Medium;Awaiting Assignment;Org line G3;;us;G199 3rd;PROD97;USA;782337.0
1-390819078;Accepted-In Progress;Padmanabha;2011/04/28 17:43:47.000;Variant 57;57;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD97;Sweden;12456.0
1-390819078;Accepted-Assigned;Carolyn;2011/04/28 17:43:54.000;Variant 57;57;Accepted;Medium;Assigned;Org line G3;;us;G199 3rd;PROD97;USA;7.0
1-397806545;Accepted-In Progress;Mikael;2011/01/19 23:05:00.000;Variant 72;72;Accepted;High;In Progress;Org line G4;;se;S33 2nd;PROD680;Sweden;11616697.0
1-397806545;Accepted-Wait;Mikael;2011/03/10 09:18:34.000;Variant 72;72;Accepted;High;Wait;Org line G4;;se;S33 2nd;PROD680;Sweden;4270414.0
1-400528782;Completed-Closed;Helene;2011/11/09 14:09:30.000;Variant 43;43;Completed;Medium;Closed;Org line G4;;se;S30 2nd;PROD412;Sweden;36796285.0
1-400528782;Accepted-In Progress;Helene;2011/11/09 14:49:03.000;Variant 43;43;Accepted;Medium;In Progress;Org line G4;;se;S30 2nd;PROD412;Sweden;2373.0
1-404084309;Accepted-Wait;Per;2011/01/14 14:54:47.000;Variant 24;24;Accepted;Low;Wait;Org line G4;;se;S33 2nd;PROD374;Sweden;9744995.0
1-405112616;Accepted-Assigned;Lennart;2011/12/11 20:57:51.000;Variant 73;73;Accepted;Low;Assigned;Org line A2;A2_3;se;G349 3rd;PROD93;Sweden;37945853.0
1-406875315;Accepted-Wait;Lars;2011/10/26 08:16:46.000;Variant 52;52;Accepted;Medium;Wait;Org line A2;A2_4;se;G61 3rd;PROD194;Sweden;33325682.0
1-407517548;Accepted-In Progress;Michael;2011/10/12 17:49:01.000;Variant 4;4;Accepted;Medium;In Progress;Org line C;E_4;us;G88 2nd;PROD793;USA;31975746.0
1-415000020;Accepted-In Progress;Anna;2011/09/08 11:19:39.000;Variant 62;62;Accepted;Medium;In Progress;Org line C;E_7;se;G135 2nd;PROD660;Sweden;26871533.0
1-415000020;Accepted-Wait;Anna;2011/09/08 11:19:45.000;Variant 62;62;Accepted;Medium;Wait;Org line C;E_7;se;G135 2nd;PROD660;Sweden;6.0
1-416247009;Accepted-Wait;Jonas;2011/03/01 14:29:00.000;Variant 7;7;Accepted;Medium;Wait;Org line V2;;se;T4 2nd;PROD63;Sweden;10207383.0
1-416247009;Accepted-In Progress;Jonas;2011/09/30 12:08:50.000;Variant 7;7;Accepted;Medium;In Progress;Org line V2;;se;T4 2nd;PROD63;Sweden;18394790.0
1-424243405;Accepted-Wait;Eric;2011/05/04 08:24:58.000;Variant 3;3;Accepted;Medium;Wait;Org line G4;;se;S33 2nd;PROD374;Sweden;13812623.0
1-427955007;Accepted-Wait;Roland;2011/01/18 10:59:26.000;Variant 51;51;Accepted;Medium;Wait;Org line G4;;se;S33 2nd;PROD374;Sweden;3616490.0
1-427955007;Accepted-In Progress;Roland;2011/01/26 07:48:18.000;Variant 51;51;Accepted;Medium;In Progress;Org line G4;;se;S33 2nd;PROD374;Sweden;679732.0
1-427955007;Accepted-Wait;Roland;2011/04/28 08:46:03.000;Variant 51;51;Accepted;Medium;Wait;Org line G4;;se;S33 2nd;PROD374;Sweden;7952265.0
1-428252132;Accepted-In Progress;Anna;2011/09/08 11:18:39.000;Variant 9;9;Accepted;Medium;In Progress;Org line C;E_7;se;G135 2nd;PROD310;Sweden;23674835.0
1-428252132;Accepted-Wait;Anna;2011/09/08 11:19:27.000;Variant 9;9;Accepted;Medium;Wait;Org line C;E_7;se;G135 2nd;PROD310;Sweden;48.0
1-430880486;Accepted-Wait;Katarina;2011/03/21 17:11:52.000;Variant 3;3;Accepted;Medium;Wait;Org line G4;;se;S33 2nd;PROD374;Sweden;8226964.0
1-432687815;Accepted-In Progress;Bengt;2011/08/31 11:03:38.000;Variant 6;6;Accepted;High;In Progress;Org line C;E_4;us;G88 2nd;PROD219;Sweden;21764837.0
1-435824991;Accepted-In Progress;Carolyn;2011/01/05 22:06:32.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD96;USA;0.0
1-435824991;Queued-Awaiting Assignment;Carolyn;2011/01/05 22:21:19.000;Variant 2;2;Queued;Medium;Awaiting Assignment;Org line G3;;us;G199 3rd;PROD96;USA;887.0
1-435824991;Accepted-In Progress;Padmanabha;2011/01/06 10:17:16.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD96;Sweden;42957.0
1-435824991;Accepted-Assigned;Carolyn;2011/01/06 10:20:30.000;Variant 2;2;Accepted;Medium;Assigned;Org line G3;;us;G199 3rd;PROD96;USA;194.0
1-435825107;Accepted-In Progress;Carolyn;2011/01/05 22:24:55.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD96;USA;0.0
1-435825107;Queued-Awaiting Assignment;Carolyn;2011/01/05 22:25:49.000;Variant 2;2;Queued;Medium;Awaiting Assignment;Org line G3;;us;G199 3rd;PROD96;USA;54.0
1-435825107;Accepted-In Progress;Padmanabha;2011/01/06 10:24:26.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD96;Sweden;43117.0
1-435825107;Accepted-Assigned;Carolyn;2011/01/06 10:24:39.000;Variant 2;2;Accepted;Medium;Assigned;Org line G3;;us;G199 3rd;PROD96;USA;13.0
1-437141508;Accepted-In Progress;Fredrik;2011/01/10 19:01:33.000;Variant 1;1;Accepted;High;In Progress;Org line C;C_3;se;G91 3rd;PROD219;Sweden;0.0
1-438526021;Accepted-In Progress;Eric;2011/01/12 16:59:25.000;Variant 3;3;Accepted;Medium;In Progress;Org line G4;;se;S33 2nd;PROD374;Sweden;0.0
1-438526021;Accepted-Wait;Eric;2011/05/04 08:20:36.000;Variant 3;3;Accepted;Medium;Wait;Org line G4;;se;S33 2nd;PROD374;Sweden;9645671.0
1-438897551;Accepted-In Progress;Agneta;2011/01/13 10:01:34.000;Variant 1;1;Accepted;Medium;In Progress;Org line A2;A2_3;se;U6 2nd;PROD831;Sweden;0.0
1-439833168;Accepted-In Progress;Per;2011/01/14 13:10:28.000;Variant 3;3;Accepted;Low;In Progress;Org line G4;;se;S33 2nd;PROD374;Sweden;0.0
1-439833168;Accepted-Wait;Per;2011/01/14 14:54:33.000;Variant 3;3;Accepted;Low;Wait;Org line G4;;se;S33 2nd;PROD374;Sweden;6245.0
1-439863114;Accepted-In Progress;Eric;2011/01/14 13:39:54.000;Variant 3;3;Accepted;Low;In Progress;Org line G4;;se;S33 2nd;PROD374;Sweden;0.0
1-439863114;Accepted-Wait;Eric;2011/05/04 08:27:15.000;Variant 3;3;Accepted;Low;Wait;Org line G4;;se;S33 2nd;PROD374;Sweden;9485241.0
1-440576028;Accepted-In Progress;Virginie;2011/01/17 11:12:41.000;Variant 1;1;Accepted;High;In Progress;Org line C;V3_3;fr;V42 2nd;PROD157;France;0.0
1-441507371;Accepted-In Progress;Ing-Marie;2011/01/18 10:35:34.000;Variant 5;5;Accepted;Medium;In Progress;Org line G4;;se;G51 2nd;PROD821;Sweden;0.0
1-441507371;Queued-Awaiting Assignment;Ing-Marie;2011/01/18 10:46:33.000;Variant 5;5;Queued;Medium;Awaiting Assignment;Org line G4;;se;G51 2nd;PROD821;Sweden;659.0
1-442885842;Accepted-In Progress;Ulrika;2011/01/20 11:53:13.000;Variant 59;59;Accepted;High;In Progress;Org line A2;A2_3;se;G110 2nd;PROD539;Sweden;0.0
1-442885842;Queued-Awaiting Assignment;Ulrika;2011/01/20 15:54:48.000;Variant 59;59;Queued;High;Awaiting Assignment;Org line A2;A2_3;se;G110 2nd;PROD539;Sweden;14495.0
1-442885842;Accepted-In Progress;Johan;2011/01/21 14:02:48.000;Variant 59;59;Accepted;High;In Progress;Org line A2;A2_3;se;M3 2nd;PROD539;Sweden;79680.0
1-442885842;Accepted-In Progress;Viktoria;2011/01/25 10:37:56.000;Variant 59;59;Accepted;High;In Progress;Org line G4;;se;S30 2nd;PROD539;Sweden;333308.0
1-442885842;Queued-Awaiting Assignment;Ulrika;2011/01/27 16:38:51.000;Variant 59;59;Queued;High;Awaiting Assignment;Org line A2;A2_3;se;G110 2nd;PROD539;Sweden;194455.0
1-443175071;Accepted-In Progress;Katarina;2011/01/20 17:18:05.000;Variant 3;3;Accepted;Medium;In Progress;Org line G4;;se;S33 2nd;PROD374;Sweden;0.0
1-443175071;Accepted-Wait;Katarina;2011/03/21 17:30:18.000;Variant 3;3;Accepted;Medium;Wait;Org line G4;;se;S33 2nd;PROD374;Sweden;5184733.0
1-443637654;Accepted-In Progress;Carolyn;2011/01/21 11:44:13.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD96;USA;0.0
1-443637654;Queued-Awaiting Assignment;Carolyn;2011/01/21 11:49:53.000;Variant 2;2;Queued;Medium;Awaiting Assignment;Org line G3;;us;G199 3rd;PROD96;USA;340.0
1-443637654;Accepted-In Progress;Padmanabha;2011/01/21 12:00:03.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD96;Sweden;610.0
1-443637654;Accepted-Assigned;Carolyn;2011/01/21 12:03:23.000;Variant 2;2;Accepted;Medium;Assigned;Org line G3;;us;G199 3rd;PROD96;USA;200.0
1-448698916;Accepted-In Progress;Ann;2011/01/24 10:44:16.000;Variant 3;3;Accepted;Medium;In Progress;Org line A2;A2_3;se;G349 3rd;PROD80;Sweden;0.0
1-448698916;Accepted-Wait;Ann;2011/12/16 10:31:22.000;Variant 3;3;Accepted;Medium;Wait;Org line A2;A2_3;se;G349 3rd;PROD80;Sweden;28165626.0
1-457173714;Accepted-In Progress;Ann;2011/01/27 09:36:28.000;Variant 3;3;Accepted;Medium;In Progress;Org line A2;A2_3;se;G349 3rd;PROD750;Sweden;0.0
1-457173714;Accepted-Wait;Ann;2011/12/16 10:31:05.000;Variant 3;3;Accepted;Medium;Wait;Org line A2;A2_3;se;G349 3rd;PROD750;Sweden;27910477.0
1-467257506;Accepted-In Progress;Carolyn;2011/01/31 11:53:06.000;Variant 37;37;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD97;USA;0.0
1-467257506;Accepted-Wait;Carolyn;2011/01/31 11:56:41.000;Variant 37;37;Accepted;Medium;Wait;Org line G3;;us;G199 3rd;PROD97;USA;215.0
1-467257506;Queued-Awaiting Assignment;Carolyn;2011/01/31 12:44:27.000;Variant 37;37;Queued;Medium;Awaiting Assignment;Org line G3;;us;G199 3rd;PROD97;USA;2866.0
1-467257506;Accepted-In Progress;Santhosh;2011/01/31 12:50:48.000;Variant 37;37;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD97;Sweden;381.0
1-467257506;Accepted-Assigned;Carolyn;2011/01/31 12:54:11.000;Variant 37;37;Accepted;Medium;Assigned;Org line G3;;us;G199 3rd;PROD97;USA;203.0
1-470328307;Accepted-In Progress;Carolyn;2011/02/01 12:17:44.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD96;USA;0.0
1-470328307;Queued-Awaiting Assignment;Carolyn;2011/02/01 12:21:09.000;Variant 2;2;Queued;Medium;Awaiting Assignment;Org line G3;;us;G199 3rd;PROD96;USA;205.0
1-470328307;Accepted-In Progress;Santhosh;2011/02/01 12:31:33.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD96;Sweden;624.0
1-470328307;Accepted-Assigned;Carolyn;2011/02/01 12:33:47.000;Variant 2;2;Accepted;Medium;Assigned;Org line G3;;us;G199 3rd;PROD96;USA;134.0
1-470714850;Accepted-In Progress;Carolyn;2011/02/02 05:11:29.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD97;USA;0.0
1-470714850;Queued-Awaiting Assignment;Carolyn;2011/02/02 05:16:19.000;Variant 2;2;Queued;Medium;Awaiting Assignment;Org line G3;;us;G199 3rd;PROD97;USA;290.0
1-470714850;Accepted-In Progress;Santhosh;2011/02/02 11:17:33.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD97;Sweden;21674.0
1-470714850;Accepted-Assigned;Carolyn;2011/02/02 11:20:56.000;Variant 2;2;Accepted;Medium;Assigned;Org line G3;;us;G199 3rd;PROD97;USA;203.0
1-479002951;Accepted-In Progress;Per;2011/02/04 14:21:41.000;Variant 3;3;Accepted;High;In Progress;Org line G4;;se;S33 2nd;PROD374;Sweden;0.0
1-479002951;Accepted-Wait;Per;2011/03/13 13:11:06.000;Variant 3;3;Accepted;High;Wait;Org line G4;;se;S33 2nd;PROD374;Sweden;3192565.0
1-489198755;Accepted-In Progress;Katarina;2011/02/08 16:10:53.000;Variant 3;3;Accepted;Medium;In Progress;Org line G4;;se;S33 2nd;PROD374;Sweden;0.0
1-489198755;Accepted-Wait;Katarina;2011/03/21 17:26:55.000;Variant 3;3;Accepted;Medium;Wait;Org line G4;;se;S33 2nd;PROD374;Sweden;3546962.0
1-494629702;Accepted-In Progress;Linda;2011/02/10 08:09:38.000;Variant 4;4;Accepted;Low;In Progress;Org line A2;A2_3;se;U6 2nd;PROD829;Sweden;0.0
1-494871141;Accepted-In Progress;Åsa;2011/02/10 13:11:43.000;Variant 9;9;Accepted;Medium;In Progress;Org line C;C_6;se;G261 3rd;PROD424;Sweden;0.0
1-494871141;Queued-Awaiting Assignment;Åsa;2011/02/15 14:09:10.000;Variant 9;9;Queued;Medium;Awaiting Assignment;Org line C;C_6;se;G261 3rd;PROD424;Sweden;435447.0
1-494871141;Accepted-In Progress;Anders;2011/02/15 14:42:18.000;Variant 9;9;Accepted;Medium;In Progress;Org line C;C_6;se;G261 3rd;PROD424;Sweden;1988.0
1-494871141;Accepted-Wait;Anders;2011/02/23 10:10:50.000;Variant 9;9;Accepted;Medium;Wait;Org line C;C_6;se;G261 3rd;PROD424;Sweden;674912.0
1-495101458;Accepted-In Progress;Gustav;2011/02/10 15:22:20.000;Variant 4;4;Accepted;Medium;In Progress;Org line G4;;se;S30 2nd;PROD412;Sweden;0.0
1-497807633;Accepted-In Progress;Carolyn;2011/02/16 08:51:55.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD96;USA;0.0
1-497807633;Queued-Awaiting Assignment;Carolyn;2011/02/16 09:05:00.000;Variant 2;2;Queued;Medium;Awaiting Assignment;Org line G3;;us;G199 3rd;PROD96;USA;785.0
1-497807633;Accepted-In Progress;Padmanabha;2011/02/16 10:22:59.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD96;Sweden;4679.0
1-497807633;Accepted-Assigned;Carolyn;2011/02/16 10:23:08.000;Variant 2;2;Accepted;Medium;Assigned;Org line G3;;us;G199 3rd;PROD96;USA;9.0
1-498002861;Accepted-In Progress;Maria;2011/02/16 13:36:35.000;Variant 3;3;Accepted;Medium;In Progress;Org line A2;A2_2;pl;W8 2nd;PROD703;POLAND;0.0
1-498002861;Accepted-Wait;Maria;2011/10/27 16:58:55.000;Variant 3;3;Accepted;Medium;Wait;Org line A2;A2_2;pl;W8 2nd;PROD703;POLAND;21871340.0
1-499289128;Accepted-In Progress;Carolyn;2011/02/18 06:03:37.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD97;USA;0.0
1-499289128;Queued-Awaiting Assignment;Carolyn;2011/02/18 06:09:51.000;Variant 2;2;Queued;Medium;Awaiting Assignment;Org line G3;;us;G199 3rd;PROD97;USA;374.0
1-499289128;Accepted-In Progress;Padmanabha;2011/02/18 10:31:26.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD97;Sweden;15695.0
1-499289128;Accepted-Assigned;Carolyn;2011/02/18 10:31:49.000;Variant 2;2;Accepted;Medium;Assigned;Org line G3;;us;G199 3rd;PROD97;USA;23.0
1-499289256;Accepted-In Progress;Carolyn;2011/02/18 06:16:59.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD97;USA;0.0
1-499289256;Queued-Awaiting Assignment;Carolyn;2011/02/18 06:21:17.000;Variant 2;2;Queued;Medium;Awaiting Assignment;Org line G3;;us;G199 3rd;PROD97;USA;258.0
1-499289256;Accepted-In Progress;Padmanabha;2011/02/18 10:35:13.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD97;Sweden;15236.0
1-499289256;Accepted-Assigned;Carolyn;2011/02/18 10:35:20.000;Variant 2;2;Accepted;Medium;Assigned;Org line G3;;us;G199 3rd;PROD97;USA;7.0
1-500208339;Accepted-In Progress;Carolyn;2011/02/21 06:53:37.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD97;USA;0.0
1-500208339;Queued-Awaiting Assignment;Carolyn;2011/02/21 07:05:37.000;Variant 2;2;Queued;Medium;Awaiting Assignment;Org line G3;;us;G199 3rd;PROD97;USA;720.0
1-500208339;Accepted-In Progress;Santhosh;2011/02/21 12:18:48.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD97;Sweden;18791.0
1-500208339;Accepted-Assigned;Carolyn;2011/02/21 12:20:39.000;Variant 2;2;Accepted;Medium;Assigned;Org line G3;;us;G199 3rd;PROD97;USA;111.0
1-500427383;Accepted-In Progress;Daniel Alf;2011/02/21 09:38:30.000;Variant 3;3;Accepted;Low;In Progress;Org line A2;A2_4;us;L23 3rd;PROD546;Sweden;0.0
1-500427383;Accepted-Wait;Daniel Alf;2011/12/07 14:26:32.000;Variant 3;3;Accepted;Low;Wait;Org line A2;A2_4;us;L23 3rd;PROD546;Sweden;24986882.0
1-501969547;Accepted-In Progress;Somil;2011/02/22 15:10:55.000;Variant 1;1;Accepted;Medium;In Progress;Org line A2;D_1;in;L50 3rd;PROD611;Sweden;0.0
1-502353485;Accepted-In Progress;Eric;2011/02/23 10:17:42.000;Variant 3;3;Accepted;High;In Progress;Org line G4;;se;S33 2nd;PROD374;Sweden;0.0
1-502353485;Accepted-Wait;Eric;2011/05/04 08:18:17.000;Variant 3;3;Accepted;High;Wait;Org line G4;;se;S33 2nd;PROD374;Sweden;6040835.0
1-502697671;Accepted-In Progress;Reine;2011/02/23 15:35:15.000;Variant 16;16;Accepted;Low;In Progress;Org line G4;;se;S28 2nd;PROD633;Sweden;0.0
1-502697671;Accepted-In Progress;Reine;2011/02/27 12:11:47.000;Variant 16;16;Accepted;Low;In Progress;Org line G4;;se;S28 2nd;PROD633;Sweden;333392.0
1-502697671;Accepted-Wait;Reine;2011/12/08 15:45:33.000;Variant 16;16;Accepted;Low;Wait;Org line G4;;se;S28 2nd;PROD633;Sweden;24550426.0
1-504048859;Accepted-In Progress;Eric;2011/02/25 19:01:03.000;Variant 24;24;Accepted;Medium;In Progress;Org line G4;;se;S33 2nd;PROD374;Sweden;0.0
1-504048859;Accepted-Wait;Eric;2011/05/04 08:21:13.000;Variant 24;24;Accepted;Medium;Wait;Org line G4;;se;S33 2nd;PROD374;Sweden;5836810.0
1-504498907;Accepted-In Progress;Somil;2011/02/28 15:04:04.000;Variant 1;1;Accepted;Medium;In Progress;Org line A2;D_1;in;L50 3rd;PROD611;Sweden;0.0
1-505194002;Accepted-In Progress;Veronique;2011/03/02 15:17:25.000;Variant 1;1;Accepted;High;In Progress;Org line A2;A2_5;fr;V5 3rd;PROD230;France;0.0
1-505194015;Accepted-In Progress;Veronique;2011/03/02 15:18:00.000;Variant 1;1;Accepted;High;In Progress;Org line A2;A2_5;fr;V5 3rd;PROD230;France;0.0
1-505416663;Accepted-In Progress;Carolyn;2011/03/03 10:34:30.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD97;USA;0.0
1-505416663;Queued-Awaiting Assignment;Carolyn;2011/03/03 10:39:32.000;Variant 2;2;Queued;Medium;Awaiting Assignment;Org line G3;;us;G199 3rd;PROD97;USA;302.0
