Activity;Case ID;Duration;Event_Nr
Send for Credit Collection;C22717;45360000.0;1
Send for Credit Collection;C22720;45100800.0;1
Send for Credit Collection;C22738;30844800.0;1
Send for Credit Collection;C22739;43286400.0;1
Send for Credit Collection;C22740;43286400.0;1
Send for Credit Collection;C22752;30844800.0;1
Send for Credit Collection;C22773;34214400.0;1
Send for Credit Collection;C22779;28598400.0;1
Send for Credit Collection;C22799;40176000.0;1
Send for Credit Collection;C22807;32400000.0;1
Send for Credit Collection;C22808;38793600.0;1
Send for Credit Collection;C22814;33436800.0;1
Send for Credit Collection;C22820;32400000.0;1
Send for Credit Collection;C22827;37584000.0;1
Send for Credit Collection;C22829;36374400.0;1
Send for Credit Collection;C22830;36374400.0;1
Send for Credit Collection;C22862;29289600.0;1
Send for Credit Collection;C22868;28512000.0;1
Send for Credit Collection;C22905;31017600.0;1
Add penalty;C22968;5184000.0;1
Payment;C22968;518400.0;2
Payment;C22968;1814400.0;3
Send Fine;C23034;12787200.0;1
Add penalty;C23208;5184000.0;1
Payment;C23208;864000.0;2
Payment;C23208;4060800.0;3
Create Fine;C23287;0.0;1
Payment;C23287;86400.0;2
Create Fine;C23288;0.0;1
Send Fine;C23288;6048000.0;2
Payment;C23357;3456000.0;1
Payment;C23358;3456000.0;1
Add penalty;C23359;5184000.0;1
Payment;C23359;10195200.0;2
Add penalty;C23377;5184000.0;1
Payment;C23377;86400.0;2
Add penalty;C23378;5184000.0;1
Payment;C23378;86400.0;2
Create Fine;C23404;0.0;1
Send Fine;C23404;0.0;2
Insert Fine Notification;C23404;0.0;3
Payment;C23404;32745600.0;4
Add penalty;C23404;3542400.0;5
Payment;C23404;37929600.0;6
Insert Date Appeal to Prefecture;C23412;2073600.0;1
Add penalty;C23412;3110400.0;2
Send Appeal to Prefecture;C23412;518400.0;3
Create Fine;C23414;0.0;1
Send Fine;C23414;6393600.0;2
Add penalty;C23415;5184000.0;1
Payment;C23415;0.0;2
Create Fine;C23438;0.0;1
Send Fine;C23438;1555200.0;2
Create Fine;C23439;0.0;1
Send Fine;C23439;1555200.0;2
Create Fine;C23456;0.0;1
Payment;C23456;0.0;2
Send Appeal to Prefecture;L2115;14515200.0;1
Insert Date Appeal to Prefecture;L2242;4320000.0;1
Add penalty;L2242;864000.0;2
Send Appeal to Prefecture;L2242;2937600.0;3
Send Appeal to Prefecture;L2301;4147200.0;1
Send Fine;L2306;1900800.0;1
Insert Fine Notification;L2306;1036800.0;2
Insert Date Appeal to Prefecture;L2306;4320000.0;3
Add penalty;L2306;3024000.0;4
Send Appeal to Prefecture;L2306;691200.0;5
Send Appeal to Prefecture;L2355;2160000.0;1
Payment;L2393;1728000.0;1
Add penalty;L2403;5184000.0;1
Send Appeal to Prefecture;L2403;345600.0;2
Send Fine;L2404;5270400.0;1
Add penalty;L2406;5184000.0;1
Payment;L2406;259200.0;2
Payment;L2406;3024000.0;3
Add penalty;L2412;5184000.0;1
Payment;L2412;5702400.0;2
Payment;L2412;2505600.0;3
Add penalty;L2413;5184000.0;1
Payment;L2413;864000.0;2
Payment;L2413;2764800.0;3
Insert Date Appeal to Prefecture;L2427;3024000.0;1
Add penalty;L2427;2160000.0;2
Send Appeal to Prefecture;L2427;432000.0;3
Send Fine;L2443;5270400.0;1
Create Fine;L2514;0.0;1
Send Fine;L2514;0.0;2
Create Fine;L2526;0.0;1
Send Fine;L2526;0.0;2
Create Fine;L2533;0.0;1
Send Fine;L2533;0.0;2
Create Fine;L2546;0.0;1
Send Fine;L2546;2160000.0;2
Create Fine;L2550;0.0;1
Send Fine;L2550;0.0;2
Create Fine;L2554;0.0;1
Send Fine;L2554;0.0;2
Create Fine;L2555;0.0;1
Send Fine;L2555;0.0;2
Create Fine;L2573;0.0;1
Send Fine;L2573;0.0;2
Create Fine;L2635;0.0;1
Send Fine;L2635;10627200.0;2
Create Fine;L2647;0.0;1
Send Fine;L2647;172800.0;2
Insert Fine Notification;L2647;1036800.0;3
Payment;L2647;86400.0;4
Add penalty;L2647;1814400.0;5
Payment;L2647;1814400.0;6
Create Fine;L2711;0.0;1
Send Fine;L2711;86400.0;2
Create Fine;L2716;0.0;1
Send Fine;L2716;86400.0;2
Insert Fine Notification;L2716;604800.0;3
Insert Date Appeal to Prefecture;L2716;2505600.0;4
Add penalty;L2716;2678400.0;5
Send Appeal to Prefecture;L2716;172800.0;6
Create Fine;L2717;0.0;1
Send Fine;L2717;86400.0;2
Insert Fine Notification;L2717;604800.0;3
Insert Date Appeal to Prefecture;L2717;2505600.0;4
Add penalty;L2717;2678400.0;5
Send Appeal to Prefecture;L2717;172800.0;6
Payment;L2722;1296000.0;1
Payment;L2722;3024000.0;2
Create Fine;L2736;0.0;1
Send Fine;L2736;86400.0;2
Create Fine;L2740;0.0;1
Send Fine;L2740;86400.0;2
Create Fine;L2743;0.0;1
Send Fine;L2743;86400.0;2
Create Fine;L2800;0.0;1
Send Fine;L2800;0.0;2
Create Fine;L2801;0.0;1
Send Fine;L2801;0.0;2
Create Fine;L2802;0.0;1
Send Fine;L2802;0.0;2
Create Fine;L2805;0.0;1
Send Fine;L2805;0.0;2
Create Fine;L2807;0.0;1
Send Fine;L2807;0.0;2
Create Fine;L2809;0.0;1
Send Fine;L2809;0.0;2
Create Fine;L2810;0.0;1
Send Fine;L2810;0.0;2
Create Fine;L2811;0.0;1
Send Fine;L2811;0.0;2
Create Fine;L2812;0.0;1
Send Fine;L2812;0.0;2
Create Fine;L2814;0.0;1
Send Fine;L2814;0.0;2
Create Fine;L2815;0.0;1
Send Fine;L2815;0.0;2
Create Fine;L2816;0.0;1
Send Fine;L2816;0.0;2
Create Fine;L2820;0.0;1
Send Fine;L2820;0.0;2
Create Fine;L2821;0.0;1
Send Fine;L2821;0.0;2
Create Fine;L2823;0.0;1
Send Fine;L2823;0.0;2
Create Fine;L2827;0.0;1
Send Fine;L2827;0.0;2
Create Fine;L2828;0.0;1
Send Fine;L2828;0.0;2
Create Fine;L2829;0.0;1
Send Fine;L2829;3024000.0;2
Create Fine;L2830;0.0;1
Send Fine;L2830;0.0;2
Create Fine;L2831;0.0;1
Send Fine;L2831;3024000.0;2
Create Fine;L2833;0.0;1
Send Fine;L2833;0.0;2
Create Fine;L2834;0.0;1
Send Fine;L2834;0.0;2
Create Fine;L2835;0.0;1
Send Fine;L2835;0.0;2
Create Fine;L2836;0.0;1
Send Fine;L2836;0.0;2
Create Fine;L2837;0.0;1
Send Fine;L2837;0.0;2
Create Fine;L2838;0.0;1
Send Fine;L2838;3024000.0;2
Create Fine;L2839;0.0;1
Send Fine;L2839;0.0;2
Create Fine;L2840;0.0;1
Send Fine;L2840;0.0;2
Create Fine;L2841;0.0;1
Send Fine;L2841;0.0;2
Create Fine;L2842;0.0;1
Send Fine;L2842;0.0;2
Create Fine;L2843;0.0;1
Send Fine;L2843;0.0;2
Create Fine;L2844;0.0;1
Send Fine;L2844;0.0;2
Create Fine;L2889;0.0;1
Send Fine;L2889;345600.0;2
Create Fine;L2890;0.0;1
Send Fine;L2890;345600.0;2
Create Fine;L2891;0.0;1
Send Fine;L2891;345600.0;2
Create Fine;L2892;0.0;1
Send Fine;L2892;345600.0;2
Create Fine;L2893;0.0;1
Send Fine;L2893;345600.0;2
Create Fine;L2894;0.0;1
Send Fine;L2894;345600.0;2
Create Fine;L2895;0.0;1
Send Fine;L2895;345600.0;2
Create Fine;L2896;0.0;1
Send Fine;L2896;345600.0;2
Create Fine;L2897;0.0;1
Send Fine;L2897;345600.0;2
Create Fine;L2898;0.0;1
Send Fine;L2898;345600.0;2
Create Fine;L2899;0.0;1
Send Fine;L2899;345600.0;2
Create Fine;L2900;0.0;1
Send Fine;L2900;345600.0;2
Create Fine;L2901;0.0;1
Send Fine;L2901;345600.0;2
Create Fine;L2902;0.0;1
Send Fine;L2902;345600.0;2
Create Fine;L2903;0.0;1
Send Fine;L2903;345600.0;2
Create Fine;L2904;0.0;1
Send Fine;L2904;345600.0;2
Create Fine;L2905;0.0;1
Send Fine;L2905;345600.0;2
Create Fine;L2906;0.0;1
Send Fine;L2906;345600.0;2
Create Fine;L2907;0.0;1
Send Fine;L2907;345600.0;2
Create Fine;L2908;0.0;1
Send Fine;L2908;345600.0;2
Create Fine;L2909;0.0;1
Send Fine;L2909;345600.0;2
Send for Credit Collection;P10;48211200.0;1
Send for Credit Collection;P1002;45014400.0;1
Send for Credit Collection;P1005;43545600.0;1
Send for Credit Collection;P1008;44064000.0;1
Send for Credit Collection;P101;47779200.0;1
Send for Credit Collection;P1011;44928000.0;1
Send for Credit Collection;P1021;44496000.0;1
Send for Credit Collection;P1027;43286400.0;1
Send for Credit Collection;P1030;45187200.0;1
Send for Credit Collection;P1032;45187200.0;1
Send for Credit Collection;P1035;45100800.0;1
Send for Credit Collection;P1036;43632000.0;1
Payment;P1039;22204800.0;1
Send for Credit Collection;P104;45446400.0;1
Send for Credit Collection;P1040;42854400.0;1
Send for Credit Collection;P1061;43718400.0;1
Send for Credit Collection;P1072;43027200.0;1
Send for Credit Collection;P1074;43027200.0;1
Send for Credit Collection;P108;47865600.0;1
Send for Credit Collection;P1081;42508800.0;1
Send for Credit Collection;P1084;41126400.0;1
Send for Credit Collection;P1085;43804800.0;1
Send for Credit Collection;P1094;39398400.0;1
Send for Credit Collection;P1095;43113600.0;1
Send for Credit Collection;P1096;41385600.0;1
Send for Credit Collection;P11;49075200.0;1
Send for Credit Collection;P1109;42768000.0;1
Send for Credit Collection;P1110;43113600.0;1
Send for Credit Collection;P1111;43804800.0;1
Send for Credit Collection;P1112;42595200.0;1
Send for Credit Collection;P1113;35769600.0;1
Send for Credit Collection;P1116;42940800.0;1
Send for Credit Collection;P1121;42249600.0;1
Send for Credit Collection;P1124;43113600.0;1
Send for Credit Collection;P1126;43804800.0;1
Send for Credit Collection;P113;47606400.0;1
Send for Credit Collection;P1131;39398400.0;1
Send for Credit Collection;P1132;43027200.0;1
Send for Credit Collection;P1133;39312000.0;1
Send for Credit Collection;P1135;40694400.0;1
Send for Credit Collection;P1139;42249600.0;1
Send for Credit Collection;P1140;43804800.0;1
Send for Credit Collection;P1146;43718400.0;1
Send for Credit Collection;P1151;43113600.0;1
Send for Credit Collection;P1152;40348800.0;1
Send for Credit Collection;P1156;43804800.0;1
Send for Credit Collection;P1157;39312000.0;1
Send for Credit Collection;P1159;42249600.0;1
Send for Credit Collection;P117;40348800.0;1
Send for Credit Collection;P1173;42249600.0;1
Send for Credit Collection;P1180;42508800.0;1
Send for Credit Collection;P1187;43200000.0;1
Send for Credit Collection;P1188;38188800.0;1
Send for Credit Collection;P1190;42249600.0;1
Send for Credit Collection;P1194;43372800.0;1
Send for Credit Collection;P1203;39744000.0;1
Send for Credit Collection;P1210;40780800.0;1
Send for Credit Collection;P1214;39916800.0;1
Send for Credit Collection;P1216;33868800.0;1
Send for Credit Collection;P1217;39916800.0;1
Send for Credit Collection;P1218;40262400.0;1
Send for Credit Collection;P1219;40262400.0;1
Send for Credit Collection;P122;46396800.0;1
Send for Credit Collection;P1221;40262400.0;1
Send for Credit Collection;P1225;31881600.0;1
Send for Credit Collection;P1226;40694400.0;1
Send for Credit Collection;P1228;39744000.0;1
Send for Credit Collection;P1229;40348800.0;1
Send for Credit Collection;P123;46396800.0;1
Payment;P1233;30240000.0;1
Send for Credit Collection;P1234;40089600.0;1
Send for Credit Collection;P1235;33868800.0;1
Send for Credit Collection;P1237;39830400.0;1
Send for Credit Collection;P1244;29894400.0;1
Send for Credit Collection;P1247;37497600.0;1
Send for Credit Collection;P1249;37065600.0;1
Send for Credit Collection;P1251;38793600.0;1
Send for Credit Collection;P1252;38448000.0;1
Send for Credit Collection;P1255;38016000.0;1
Send for Credit Collection;P1302;44323200.0;1
Send for Credit Collection;P1308;43718400.0;1
Send for Credit Collection;P1310;44928000.0;1
Send for Credit Collection;P1313;45187200.0;1
Send for Credit Collection;P1314;45100800.0;1
Send for Credit Collection;P1315;44064000.0;1
Send for Credit Collection;P1317;45187200.0;1
Send for Credit Collection;P1319;45187200.0;1
Send for Credit Collection;P1321;44236800.0;1
Send for Credit Collection;P1327;38016000.0;1
Send for Credit Collection;P1329;43113600.0;1
Send for Credit Collection;P133;46396800.0;1
Send for Credit Collection;P1331;43718400.0;1
Send for Credit Collection;P1339;43286400.0;1
Send for Credit Collection;P1341;43718400.0;1
Send for Credit Collection;P1345;38016000.0;1
Send for Credit Collection;P1350;38880000.0;1
Send for Credit Collection;P1351;42163200.0;1
Send for Credit Collection;P1358;43027200.0;1
Send for Credit Collection;P136;48556800.0;1
Send for Credit Collection;P1361;41731200.0;1
Send for Credit Collection;P1365;43804800.0;1
Send for Credit Collection;P1367;43286400.0;1
Send for Credit Collection;P1368;42768000.0;1
Send for Credit Collection;P1371;42249600.0;1
Send for Credit Collection;P1375;43718400.0;1
Send for Credit Collection;P1376;39484800.0;1
Send for Credit Collection;P1379;39398400.0;1
Send for Credit Collection;P1381;40262400.0;1
Send for Credit Collection;P1389;41299200.0;1
Send for Credit Collection;P1390;41904000.0;1
Send for Credit Collection;P1391;41126400.0;1
Send for Credit Collection;P1402;44064000.0;1
Send for Credit Collection;P1404;38880000.0;1
Send for Credit Collection;P1406;44841600.0;1
Send for Credit Collection;P1407;44064000.0;1
Send for Credit Collection;P1414;43977600.0;1
Send for Credit Collection;P1418;45100800.0;1
Send for Credit Collection;P142;48211200.0;1
Send for Credit Collection;P1420;43977600.0;1
Send for Credit Collection;P1424;42940800.0;1
Send for Credit Collection;P143;44323200.0;1
Send for Credit Collection;P1441;43372800.0;1
Send for Credit Collection;P1451;44409600.0;1
Send for Credit Collection;P1457;45187200.0;1
Send for Credit Collection;P1463;42508800.0;1
Send for Credit Collection;P1465;43804800.0;1
Send for Credit Collection;P1466;43718400.0;1
Send for Credit Collection;P1470;39398400.0;1
Send for Credit Collection;P1472;41731200.0;1
Send for Credit Collection;P1475;43113600.0;1
Send for Credit Collection;P1484;43027200.0;1
Send for Credit Collection;P1485;43113600.0;1
Send for Credit Collection;P1490;36806400.0;1
Send for Credit Collection;P1491;45187200.0;1
Send for Credit Collection;P1493;44236800.0;1
Send for Credit Collection;P1496;44236800.0;1
Send for Credit Collection;P1502;42076800.0;1
Send for Credit Collection;P1504;42854400.0;1
Send for Credit Collection;P1508;42249600.0;1
Send for Credit Collection;P1512;40003200.0;1
Send for Credit Collection;P1514;43718400.0;1
Send for Credit Collection;P1516;42163200.0;1
Send for Credit Collection;P1522;42854400.0;1
Send for Credit Collection;P1527;43804800.0;1
Send for Credit Collection;P1529;41904000.0;1
Send for Credit Collection;P1532;43372800.0;1
Send for Credit Collection;P1534;36979200.0;1
Payment;P1538;30153600.0;1
Send for Credit Collection;P1541;39744000.0;1
Send for Credit Collection;P1542;37584000.0;1
Send for Credit Collection;P1545;38016000.0;1
Send for Credit Collection;P1547;37929600.0;1
Send for Credit Collection;P1550;37584000.0;1
Send for Credit Collection;P1553;39398400.0;1
Send for Credit Collection;P1554;43718400.0;1
Send for Credit Collection;P1555;42940800.0;1
Send for Credit Collection;P1560;43718400.0;1
Send for Credit Collection;P1561;37929600.0;1
Send for Credit Collection;P1566;36979200.0;1
Send for Credit Collection;P1567;41731200.0;1
Send for Credit Collection;P1571;41904000.0;1
Send for Credit Collection;P1574;42768000.0;1
Send for Credit Collection;P1577;40608000.0;1
Send for Credit Collection;P1578;40780800.0;1
Send for Credit Collection;P1579;39916800.0;1
Send for Credit Collection;P1596;39830400.0;1
Send for Credit Collection;P1609;42768000.0;1
Send for Credit Collection;P1614;30326400.0;1
Send for Credit Collection;P1615;43372800.0;1
Send for Credit Collection;P1616;39484800.0;1
Send for Credit Collection;P1617;40348800.0;1
Send for Credit Collection;P1620;41731200.0;1
Send for Credit Collection;P1624;40262400.0;1
Send for Credit Collection;P1628;42336000.0;1
Send for Credit Collection;P1630;42768000.0;1
Send for Credit Collection;P1631;39830400.0;1
Send for Credit Collection;P1635;42163200.0;1
Send for Credit Collection;P1636;39398400.0;1
Send for Credit Collection;P1640;43286400.0;1
Payment;P1641;35683200.0;1
Send for Credit Collection;P1644;39225600.0;1
Send for Credit Collection;P1645;43372800.0;1
Send for Credit Collection;P1647;42768000.0;1
Send for Credit Collection;P1654;39398400.0;1
Send for Credit Collection;P1660;41299200.0;1
Send for Credit Collection;P1662;42768000.0;1
Send for Credit Collection;P1663;39398400.0;1
Send for Credit Collection;P1670;40348800.0;1
Send for Credit Collection;P1671;40348800.0;1
Send for Credit Collection;P1677;42422400.0;1
Send for Credit Collection;P1685;40176000.0;1
Send for Credit Collection;P1696;40694400.0;1
Send for Credit Collection;P1697;40521600.0;1
Send for Credit Collection;P17;48211200.0;1
Send for Credit Collection;P1703;44323200.0;1
Send for Credit Collection;P1704;44064000.0;1
Send for Credit Collection;P1709;44323200.0;1
Send for Credit Collection;P1716;38620800.0;1
Send for Credit Collection;P1724;33436800.0;1
Send for Credit Collection;P1726;43372800.0;1
Send for Credit Collection;P1730;43372800.0;1
Send for Credit Collection;P1731;43372800.0;1
Send for Credit Collection;P1732;38793600.0;1
Send for Credit Collection;P1743;43113600.0;1
Send for Credit Collection;P1744;40348800.0;1
Send for Credit Collection;P1752;38016000.0;1
Send for Credit Collection;P1759;39225600.0;1
Send for Credit Collection;P1760;39484800.0;1
Send for Credit Collection;P1765;40003200.0;1
Send for Credit Collection;P1772;39398400.0;1
Send for Credit Collection;P1774;43200000.0;1
Send for Credit Collection;P1775;39225600.0;1
