Case ID;Activity;Resource;Complete Timestamp;Variant;Variant index;(case) channel;(case) department;(case) group;(case) responsible;concept:instance;concept:name;lifecycle:transition;org:group;Duration
case-3879;T05 Print and send confirmation of receipt-complete;Resource11;2010/12/02 07:40:21.413;Variant 4;4;Internet;General;;Resource01;task-2120;T05 Print and send confirmation of receipt;complete;EMPTY;511805.142
case-3927;Confirmation of receipt-complete;Resource15;2010/11/23 11:34:13.017;Variant 1;1;e-mail;General;Group 5;Resource12;task-239;Confirmation of receipt;complete;Group 1;0.0
case-3927;T02 Check confirmation of receipt-complete;Resource24;2010/11/26 08:57:47.280;Variant 1;1;e-mail;General;Group 5;Resource12;task-1877;T02 Check confirmation of receipt;complete;EMPTY;249814.263
case-3927;T04 Determine confirmation of receipt-complete;Resource15;2010/11/30 10:23:33.230;Variant 1;1;e-mail;General;Group 5;Resource12;task-2103;T04 Determine confirmation of receipt;complete;Group 3;350745.95
case-3927;T05 Print and send confirmation of receipt-complete;admin1;2010/12/06 15:17:29.108;Variant 1;1;e-mail;General;Group 5;Resource12;task-2369;T05 Print and send confirmation of receipt;complete;Group 2;536035.878
case-3987;Confirmation of receipt-complete;Resource08;2010/10/26 10:47:33.327;Variant 2;2;Internet;Experts;;Resource08;task-304;Confirmation of receipt;complete;Group 1;0.0
case-3987;T06 Determine necessity of stop advice-complete;Resource08;2010/10/26 12:23:24.830;Variant 2;2;Internet;Experts;;Resource08;task-498;T06 Determine necessity of stop advice;complete;Group 1;5751.503
case-3987;T10 Determine necessity to stop indication-complete;Resource08;2010/10/26 12:27:17.766;Variant 2;2;Internet;Experts;;Resource08;task-504;T10 Determine necessity to stop indication;complete;Group 1;232.936
case-3987;T02 Check confirmation of receipt-complete;Resource19;2010/10/26 15:52:17.181;Variant 2;2;Internet;Experts;;Resource08;task-497;T02 Check confirmation of receipt;complete;EMPTY;12299.415
case-3987;T04 Determine confirmation of receipt-complete;Resource19;2010/10/28 11:46:00.571;Variant 2;2;Internet;Experts;;Resource08;task-514;T04 Determine confirmation of receipt;complete;EMPTY;158023.39
case-3987;T05 Print and send confirmation of receipt-complete;Resource20;2010/10/28 13:46:25.048;Variant 2;2;Internet;Experts;;Resource08;task-545;T05 Print and send confirmation of receipt;complete;Group 2;7224.477
case-3989;Confirmation of receipt-complete;Resource12;2010/10/22 09:57:23.546;Variant 1;1;Internet;General;;Resource12;task-308;Confirmation of receipt;complete;Group 1;0.0
case-3989;T02 Check confirmation of receipt-complete;Resource12;2010/10/22 09:57:46.254;Variant 1;1;Internet;General;;Resource12;task-382;T02 Check confirmation of receipt;complete;Group 4;22.708
case-3989;T04 Determine confirmation of receipt-complete;Resource12;2010/10/22 09:58:13.317;Variant 1;1;Internet;General;;Resource12;task-384;T04 Determine confirmation of receipt;complete;Group 3;27.063
case-3989;T05 Print and send confirmation of receipt-complete;Resource12;2010/10/22 09:58:35.137;Variant 1;1;Internet;General;;Resource12;task-385;T05 Print and send confirmation of receipt;complete;Group 2;21.82
case-3989;T06 Determine necessity of stop advice-complete;Resource12;2010/10/22 09:59:04.836;Variant 1;1;Internet;General;;Resource12;task-383;T06 Determine necessity of stop advice;complete;Group 1;29.699
case-3989;T10 Determine necessity to stop indication-complete;Resource12;2010/10/22 09:59:36.800;Variant 1;1;Internet;General;;Resource12;task-386;T10 Determine necessity to stop indication;complete;Group 1;31.964
case-3991;Confirmation of receipt-complete;Resource04;2010/10/22 11:17:05.605;Variant 17;17;Internet;General;;Resource04;task-310;Confirmation of receipt;complete;Group 1;0.0
case-3991;T06 Determine necessity of stop advice-complete;Resource04;2010/10/22 11:23:44.282;Variant 17;17;Internet;General;;Resource04;task-410;T06 Determine necessity of stop advice;complete;Group 1;398.677
case-3991;T02 Check confirmation of receipt-complete;Resource04;2010/10/22 11:23:58.873;Variant 17;17;Internet;General;;Resource04;task-409;T02 Check confirmation of receipt;complete;Group 4;14.591
case-3991;T04 Determine confirmation of receipt-complete;Resource04;2010/10/22 11:24:08.474;Variant 17;17;Internet;General;;Resource04;task-412;T04 Determine confirmation of receipt;complete;Group 3;9.601
case-3991;T10 Determine necessity to stop indication-complete;Resource04;2010/10/22 11:30:31.019;Variant 17;17;Internet;General;;Resource04;task-411;T10 Determine necessity to stop indication;complete;Group 1;382.545
case-3991;T05 Print and send confirmation of receipt-complete;Resource04;2010/10/22 11:34:43.024;Variant 17;17;Internet;General;;Resource04;task-413;T05 Print and send confirmation of receipt;complete;Group 2;252.005
case-3995;Confirmation of receipt-complete;Resource08;2010/10/26 09:45:05.690;Variant 1;1;Internet;Experts;;Resource08;task-320;Confirmation of receipt;complete;EMPTY;0.0
case-3995;T02 Check confirmation of receipt-complete;Resource19;2010/10/26 15:51:10.937;Variant 1;1;Internet;Experts;;Resource08;task-494;T02 Check confirmation of receipt;complete;EMPTY;21965.247
case-3995;T04 Determine confirmation of receipt-complete;Resource19;2010/10/28 11:44:43.133;Variant 1;1;Internet;Experts;;Resource08;task-512;T04 Determine confirmation of receipt;complete;EMPTY;158012.196
case-3995;T05 Print and send confirmation of receipt-complete;Resource20;2010/10/28 13:44:25.273;Variant 1;1;Internet;Experts;;Resource08;task-543;T05 Print and send confirmation of receipt;complete;Group 2;7182.14
case-3995;T06 Determine necessity of stop advice-complete;Resource08;2010/11/08 14:42:25.008;Variant 1;1;Internet;Experts;;Resource08;task-495;T06 Determine necessity of stop advice;complete;Group 1;953879.735
case-3995;T10 Determine necessity to stop indication-complete;Resource08;2010/11/08 15:17:20.902;Variant 1;1;Internet;Experts;;Resource08;task-1184;T10 Determine necessity to stop indication;complete;Group 1;2095.894
case-3997;Confirmation of receipt-complete;Resource17;2010/11/04 14:30:42.541;Variant 2;2;Internet;Experts;;Resource17;task-322;Confirmation of receipt;complete;Group 1;0.0
case-3997;T06 Determine necessity of stop advice-complete;Resource17;2010/11/04 14:31:21.178;Variant 2;2;Internet;Experts;;Resource17;task-947;T06 Determine necessity of stop advice;complete;Group 1;38.637
case-3997;T10 Determine necessity to stop indication-complete;Resource17;2010/11/04 14:31:40.155;Variant 2;2;Internet;Experts;;Resource17;task-948;T10 Determine necessity to stop indication;complete;Group 1;18.977
case-3997;T02 Check confirmation of receipt-complete;Resource04;2010/11/18 11:31:22.936;Variant 2;2;Internet;Experts;;Resource17;task-946;T02 Check confirmation of receipt;complete;EMPTY;1198782.781
case-3997;T04 Determine confirmation of receipt-complete;Resource02;2010/11/22 12:08:49.070;Variant 2;2;Internet;Experts;;Resource17;task-1635;T04 Determine confirmation of receipt;complete;EMPTY;347846.134
case-3997;T05 Print and send confirmation of receipt-complete;admin1;2010/11/30 09:15:04.106;Variant 2;2;Internet;Experts;;Resource17;task-1806;T05 Print and send confirmation of receipt;complete;Group 2;680775.036
case-3998;Confirmation of receipt-complete;Resource08;2010/10/26 09:18:14.992;Variant 1;1;Internet;Experts;;Resource08;task-323;Confirmation of receipt;complete;EMPTY;0.0
case-3998;T02 Check confirmation of receipt-complete;Resource19;2010/10/26 15:51:51.369;Variant 1;1;Internet;Experts;;Resource08;task-491;T02 Check confirmation of receipt;complete;EMPTY;23616.377
case-3998;T04 Determine confirmation of receipt-complete;Resource19;2010/10/28 11:45:05.599;Variant 1;1;Internet;Experts;;Resource08;task-513;T04 Determine confirmation of receipt;complete;EMPTY;157994.23
case-3998;T05 Print and send confirmation of receipt-complete;Resource20;2010/10/28 13:45:19.365;Variant 1;1;Internet;Experts;;Resource08;task-544;T05 Print and send confirmation of receipt;complete;Group 2;7213.766
case-3998;T06 Determine necessity of stop advice-complete;Resource08;2010/11/02 14:38:22.827;Variant 1;1;Internet;Experts;;Resource08;task-492;T06 Determine necessity of stop advice;complete;Group 1;435183.462
case-3998;T10 Determine necessity to stop indication-complete;Resource08;2010/11/02 14:38:47.479;Variant 1;1;Internet;Experts;;Resource08;task-724;T10 Determine necessity to stop indication;complete;Group 1;24.652
case-4000;Confirmation of receipt-complete;Resource17;2010/11/04 11:45:14.018;Variant 14;14;Internet;Experts;;Resource17;task-325;Confirmation of receipt;complete;Group 1;0.0
case-4000;T06 Determine necessity of stop advice-complete;Resource17;2010/11/04 11:45:48.226;Variant 14;14;Internet;Experts;;Resource17;task-891;T06 Determine necessity of stop advice;complete;Group 1;34.208
case-4000;T10 Determine necessity to stop indication-complete;Resource17;2010/11/04 11:46:07.945;Variant 14;14;Internet;Experts;;Resource17;task-892;T10 Determine necessity to stop indication;complete;Group 1;19.719
case-4000;T02 Check confirmation of receipt-complete;Resource04;2010/11/18 10:35:48.552;Variant 14;14;Internet;Experts;;Resource17;task-890;T02 Check confirmation of receipt;complete;EMPTY;1205380.607
case-4000;T03 Adjust confirmation of receipt-complete;Resource17;2010/11/18 10:40:05.522;Variant 14;14;Internet;Experts;;Resource17;task-1630;T03 Adjust confirmation of receipt;complete;Group 1;256.97
case-4000;T02 Check confirmation of receipt-complete;Resource04;2010/11/18 10:44:34.458;Variant 14;14;Internet;Experts;;Resource17;task-1631;T02 Check confirmation of receipt;complete;EMPTY;268.936
case-4000;T04 Determine confirmation of receipt-complete;Resource10;2010/11/24 11:14:28.576;Variant 14;14;Internet;Experts;;Resource17;task-1633;T04 Determine confirmation of receipt;complete;Group 3;520194.118
case-4000;T05 Print and send confirmation of receipt-complete;admin1;2010/11/30 09:26:54.924;Variant 14;14;Internet;Experts;;Resource17;task-1966;T05 Print and send confirmation of receipt;complete;Group 2;511946.348
case-4008;Confirmation of receipt-complete;admin2;2010/10/26 15:28:43.424;Variant 3;3;Internet;General;;Resource06;task-346;Confirmation of receipt;complete;Group 1;0.0
case-4010;Confirmation of receipt-complete;Resource08;2010/10/26 11:03:01.924;Variant 1;1;Internet;Experts;;Resource08;task-348;Confirmation of receipt;complete;Group 1;0.0
case-4010;T02 Check confirmation of receipt-complete;Resource19;2010/10/26 15:52:41.293;Variant 1;1;Internet;Experts;;Resource08;task-500;T02 Check confirmation of receipt;complete;EMPTY;17379.369
case-4010;T04 Determine confirmation of receipt-complete;Resource19;2010/10/28 11:46:26.703;Variant 1;1;Internet;Experts;;Resource08;task-515;T04 Determine confirmation of receipt;complete;EMPTY;158025.41
case-4010;T05 Print and send confirmation of receipt-complete;Resource20;2010/10/28 13:47:04.666;Variant 1;1;Internet;Experts;;Resource08;task-547;T05 Print and send confirmation of receipt;complete;Group 2;7237.963
case-4010;T06 Determine necessity of stop advice-complete;Resource08;2010/11/04 11:36:38.175;Variant 1;1;Internet;Experts;;Resource08;task-501;T06 Determine necessity of stop advice;complete;Group 1;596973.509
case-4010;T10 Determine necessity to stop indication-complete;Resource08;2010/11/04 11:36:57.035;Variant 1;1;Internet;Experts;;Resource08;task-883;T10 Determine necessity to stop indication;complete;Group 1;18.86
case-4012;Confirmation of receipt-complete;Resource11;2010/11/08 09:42:06.196;Variant 2;2;Internet;General;;Resource01;task-351;Confirmation of receipt;complete;EMPTY;0.0
case-4012;T06 Determine necessity of stop advice-complete;Resource11;2010/11/08 09:42:23.986;Variant 2;2;Internet;General;;Resource01;task-1094;T06 Determine necessity of stop advice;complete;Group 1;17.79
case-4012;T10 Determine necessity to stop indication-complete;Resource11;2010/11/08 09:43:14.965;Variant 2;2;Internet;General;;Resource01;task-1095;T10 Determine necessity to stop indication;complete;Group 1;50.979
case-4012;T02 Check confirmation of receipt-complete;Resource10;2010/11/24 11:31:26.888;Variant 2;2;Internet;General;;Resource01;task-1093;T02 Check confirmation of receipt;complete;Group 4;1388891.923
case-4012;T04 Determine confirmation of receipt-complete;Resource11;2010/11/29 14:50:55.327;Variant 2;2;Internet;General;;Resource01;task-1971;T04 Determine confirmation of receipt;complete;Group 3;443968.439
case-4012;T05 Print and send confirmation of receipt-complete;Resource11;2010/11/29 15:41:08.959;Variant 2;2;Internet;General;;Resource01;task-2248;T05 Print and send confirmation of receipt;complete;EMPTY;3013.632
case-4013;Confirmation of receipt-complete;Resource17;2010/11/11 15:05:22.193;Variant 2;2;Internet;Experts;;Resource17;task-352;Confirmation of receipt;complete;Group 1;0.0
case-4013;T06 Determine necessity of stop advice-complete;Resource17;2010/11/11 15:06:10.159;Variant 2;2;Internet;Experts;;Resource17;task-1407;T06 Determine necessity of stop advice;complete;Group 1;47.966
case-4013;T10 Determine necessity to stop indication-complete;Resource17;2010/11/11 15:06:32.510;Variant 2;2;Internet;Experts;;Resource17;task-1408;T10 Determine necessity to stop indication;complete;Group 1;22.351
case-4013;T02 Check confirmation of receipt-complete;Resource10;2010/11/16 13:32:33.837;Variant 2;2;Internet;Experts;;Resource17;task-1406;T02 Check confirmation of receipt;complete;Group 4;426361.327
case-4013;T04 Determine confirmation of receipt-complete;Resource10;2010/11/22 08:26:54.898;Variant 2;2;Internet;Experts;;Resource17;task-1531;T04 Determine confirmation of receipt;complete;Group 3;500061.061
case-4013;T05 Print and send confirmation of receipt-complete;admin1;2010/11/30 08:59:53.407;Variant 2;2;Internet;Experts;;Resource17;task-1785;T05 Print and send confirmation of receipt;complete;Group 2;693178.509
case-4014;Confirmation of receipt-complete;Resource11;2010/11/01 11:22:55.945;Variant 2;2;Internet;General;;Resource01;task-354;Confirmation of receipt;complete;Group 1;0.0
case-4014;T06 Determine necessity of stop advice-complete;Resource11;2010/11/01 11:25:03.686;Variant 2;2;Internet;General;;Resource01;task-612;T06 Determine necessity of stop advice;complete;Group 1;127.741
case-4014;T10 Determine necessity to stop indication-complete;Resource11;2010/11/01 11:25:43.152;Variant 2;2;Internet;General;;Resource01;task-613;T10 Determine necessity to stop indication;complete;Group 1;39.466
case-4014;T02 Check confirmation of receipt-complete;Resource21;2010/11/01 11:45:22.431;Variant 2;2;Internet;General;;Resource01;task-611;T02 Check confirmation of receipt;complete;EMPTY;1179.279
case-4014;T04 Determine confirmation of receipt-complete;Resource19;2010/11/01 12:39:19.161;Variant 2;2;Internet;General;;Resource01;task-625;T04 Determine confirmation of receipt;complete;EMPTY;3236.73
case-4014;T05 Print and send confirmation of receipt-complete;Resource20;2010/11/03 08:45:12.305;Variant 2;2;Internet;General;;Resource01;task-638;T05 Print and send confirmation of receipt;complete;Group 2;158753.144
case-4015;Confirmation of receipt-complete;admin2;2010/11/04 15:37:39.639;Variant 3;3;Internet;General;;Resource11;task-355;Confirmation of receipt;complete;EMPTY;0.0
case-4017;Confirmation of receipt-complete;Resource11;2010/11/01 12:16:04.360;Variant 2;2;Post;General;;Resource07;task-357;Confirmation of receipt;complete;Group 1;0.0
case-4017;T06 Determine necessity of stop advice-complete;Resource11;2010/11/01 12:19:33.758;Variant 2;2;Post;General;;Resource07;task-628;T06 Determine necessity of stop advice;complete;Group 1;209.398
case-4017;T10 Determine necessity to stop indication-complete;Resource11;2010/11/01 12:21:48.593;Variant 2;2;Post;General;;Resource07;task-629;T10 Determine necessity to stop indication;complete;Group 1;134.835
case-4017;T02 Check confirmation of receipt-complete;Resource19;2010/11/01 12:40:15.155;Variant 2;2;Post;General;;Resource07;task-627;T02 Check confirmation of receipt;complete;EMPTY;1106.562
case-4017;T04 Determine confirmation of receipt-complete;Resource19;2010/11/01 12:52:53.315;Variant 2;2;Post;General;;Resource07;task-639;T04 Determine confirmation of receipt;complete;EMPTY;758.16
case-4017;T05 Print and send confirmation of receipt-complete;Resource20;2010/11/03 08:46:13.204;Variant 2;2;Post;General;;Resource07;task-654;T05 Print and send confirmation of receipt;complete;Group 2;157999.889
case-4020;Confirmation of receipt-complete;Resource11;2010/11/01 12:46:24.892;Variant 2;2;Post;General;;Resource07;task-364;Confirmation of receipt;complete;Group 1;0.0
case-4020;T06 Determine necessity of stop advice-complete;Resource11;2010/11/01 12:46:55.737;Variant 2;2;Post;General;;Resource07;task-643;T06 Determine necessity of stop advice;complete;Group 1;30.845
case-4020;T10 Determine necessity to stop indication-complete;Resource11;2010/11/01 12:47:52.420;Variant 2;2;Post;General;;Resource07;task-644;T10 Determine necessity to stop indication;complete;Group 1;56.683
case-4020;T02 Check confirmation of receipt-complete;Resource19;2010/11/04 10:29:40.881;Variant 2;2;Post;General;;Resource07;task-642;T02 Check confirmation of receipt;complete;EMPTY;250908.461
case-4020;T04 Determine confirmation of receipt-complete;Resource19;2010/11/09 11:20:01.131;Variant 2;2;Post;General;;Resource07;task-853;T04 Determine confirmation of receipt;complete;EMPTY;435020.25
case-4020;T05 Print and send confirmation of receipt-complete;Resource20;2010/11/11 12:53:21.394;Variant 2;2;Post;General;;Resource07;task-1258;T05 Print and send confirmation of receipt;complete;Group 2;178400.263
case-4021;Confirmation of receipt-complete;Resource11;2010/11/01 13:55:26.056;Variant 29;29;Internet;General;;Resource01;task-366;Confirmation of receipt;complete;Group 1;0.0
case-4021;T06 Determine necessity of stop advice-complete;Resource11;2010/11/01 13:56:49.019;Variant 29;29;Internet;General;;Resource01;task-663;T06 Determine necessity of stop advice;complete;Group 1;82.963
case-4021;T10 Determine necessity to stop indication-complete;Resource11;2010/11/01 13:59:17.587;Variant 29;29;Internet;General;;Resource01;task-664;T10 Determine necessity to stop indication;complete;Group 1;148.568
case-4021;T16 Report reasons to hold request-complete;Resource11;2010/11/01 14:08:01.278;Variant 29;29;Internet;General;;Resource01;task-665;T16 Report reasons to hold request;complete;Group 1;523.691
case-4021;T17 Check report Y to stop indication-complete;Resource11;2010/11/01 14:21:05.870;Variant 29;29;Internet;General;;Resource01;task-666;T17 Check report Y to stop indication;complete;Group 4;784.592
case-4021;T19 Determine report Y to stop indication-complete;Resource11;2010/11/01 14:22:02.839;Variant 29;29;Internet;General;;Resource01;task-667;T19 Determine report Y to stop indication;complete;Group 3;56.969
case-4021;T20 Print report Y to stop indication-complete;Resource11;2010/11/01 14:22:22.753;Variant 29;29;Internet;General;;Resource01;task-668;T20 Print report Y to stop indication;complete;Group 2;19.914
case-4021;T02 Check confirmation of receipt-complete;Resource32;2010/11/09 08:47:01.792;Variant 29;29;Internet;General;;Resource01;task-662;T02 Check confirmation of receipt;complete;EMPTY;671079.039
case-4021;T04 Determine confirmation of receipt-complete;Resource19;2010/11/09 13:04:41.176;Variant 29;29;Internet;General;;Resource01;task-1229;T04 Determine confirmation of receipt;complete;EMPTY;15459.384
case-4021;T05 Print and send confirmation of receipt-complete;Resource20;2010/11/11 12:54:27.065;Variant 29;29;Internet;General;;Resource01;task-1272;T05 Print and send confirmation of receipt;complete;Group 2;172185.889
case-4024;Confirmation of receipt-complete;admin2;2010/12/20 12:10:34.164;Variant 3;3;Internet;Experts;;Resource17;task-369;Confirmation of receipt;complete;Group 1;0.0
case-4025;Confirmation of receipt-complete;Resource11;2010/11/01 15:05:27.606;Variant 14;14;Post;General;;Resource07;task-370;Confirmation of receipt;complete;Group 1;0.0
case-4025;T06 Determine necessity of stop advice-complete;Resource11;2010/11/01 15:05:48.091;Variant 14;14;Post;General;;Resource07;task-676;T06 Determine necessity of stop advice;complete;Group 1;20.485
case-4025;T10 Determine necessity to stop indication-complete;Resource11;2010/11/01 15:06:29.816;Variant 14;14;Post;General;;Resource07;task-677;T10 Determine necessity to stop indication;complete;Group 1;41.725
case-4025;T02 Check confirmation of receipt-complete;Resource11;2010/11/01 15:06:53.096;Variant 14;14;Post;General;;Resource07;task-675;T02 Check confirmation of receipt;complete;Group 4;23.28
case-4025;T03 Adjust confirmation of receipt-complete;Resource07;2010/12/02 10:03:09.970;Variant 14;14;Post;General;;Resource07;task-679;T03 Adjust confirmation of receipt;complete;Group 1;2660176.874
case-4025;T02 Check confirmation of receipt-complete;Resource07;2010/12/02 10:03:48.065;Variant 14;14;Post;General;;Resource07;task-2615;T02 Check confirmation of receipt;complete;Group 4;38.095
case-4025;T04 Determine confirmation of receipt-complete;Resource07;2010/12/02 10:04:10.288;Variant 14;14;Post;General;;Resource07;task-2616;T04 Determine confirmation of receipt;complete;Group 3;22.223
case-4025;T05 Print and send confirmation of receipt-complete;admin1;2010/12/02 10:10:12.758;Variant 14;14;Post;General;;Resource07;task-2617;T05 Print and send confirmation of receipt;complete;Group 2;362.47
case-4027;Confirmation of receipt-complete;Resource11;2010/11/02 07:32:35.409;Variant 2;2;Post;General;;Resource07;task-373;Confirmation of receipt;complete;Group 1;0.0
case-4027;T06 Determine necessity of stop advice-complete;Resource11;2010/11/02 07:33:03.163;Variant 2;2;Post;General;;Resource07;task-693;T06 Determine necessity of stop advice;complete;Group 1;27.754
case-4027;T10 Determine necessity to stop indication-complete;Resource11;2010/11/02 07:33:46.468;Variant 2;2;Post;General;;Resource07;task-694;T10 Determine necessity to stop indication;complete;Group 1;43.305
case-4027;T02 Check confirmation of receipt-complete;Resource19;2010/11/04 10:16:16.748;Variant 2;2;Post;General;;Resource07;task-692;T02 Check confirmation of receipt;complete;EMPTY;182550.28
case-4027;T04 Determine confirmation of receipt-complete;Resource11;2010/11/04 11:34:39.983;Variant 2;2;Post;General;;Resource07;task-848;T04 Determine confirmation of receipt;complete;EMPTY;4703.235
case-4027;T05 Print and send confirmation of receipt-complete;Resource20;2010/11/04 17:04:13.689;Variant 2;2;Post;General;;Resource07;task-880;T05 Print and send confirmation of receipt;complete;Group 2;19773.706
case-4028;Confirmation of receipt-complete;Resource01;2010/11/02 12:42:19.582;Variant 2;2;Post;General;;Resource07;task-376;Confirmation of receipt;complete;Group 1;0.0
case-4028;T06 Determine necessity of stop advice-complete;Resource01;2010/11/02 12:45:03.277;Variant 2;2;Post;General;;Resource07;task-716;T06 Determine necessity of stop advice;complete;Group 1;163.695
case-4028;T10 Determine necessity to stop indication-complete;Resource01;2010/11/02 12:46:01.076;Variant 2;2;Post;General;;Resource07;task-717;T10 Determine necessity to stop indication;complete;Group 1;57.799
case-4028;T02 Check confirmation of receipt-complete;Resource19;2010/11/04 10:01:23.772;Variant 2;2;Post;General;;Resource07;task-715;T02 Check confirmation of receipt;complete;EMPTY;162922.696
case-4028;T04 Determine confirmation of receipt-complete;Resource19;2010/11/04 15:27:23.404;Variant 2;2;Post;General;;Resource07;task-847;T04 Determine confirmation of receipt;complete;EMPTY;19559.632
case-4028;T05 Print and send confirmation of receipt-complete;Resource20;2010/11/11 12:52:39.426;Variant 2;2;Post;General;;Resource07;task-993;T05 Print and send confirmation of receipt;complete;Group 2;595516.022
case-4057;Confirmation of receipt-complete;Resource11;2010/11/03 07:29:21.044;Variant 14;14;e-mail;General;;Resource07;task-451;Confirmation of receipt;complete;Group 1;0.0
case-4057;T06 Determine necessity of stop advice-complete;Resource11;2010/11/03 07:29:43.407;Variant 14;14;e-mail;General;;Resource07;task-741;T06 Determine necessity of stop advice;complete;Group 1;22.363
case-4057;T10 Determine necessity to stop indication-complete;Resource11;2010/11/03 07:34:41.207;Variant 14;14;e-mail;General;;Resource07;task-742;T10 Determine necessity to stop indication;complete;Group 1;297.8
case-4057;T02 Check confirmation of receipt-complete;Resource11;2010/11/03 07:43:45.093;Variant 14;14;e-mail;General;;Resource07;task-740;T02 Check confirmation of receipt;complete;Group 4;543.886
case-4057;T03 Adjust confirmation of receipt-complete;Resource11;2010/11/03 07:52:15.597;Variant 14;14;e-mail;General;;Resource07;task-750;T03 Adjust confirmation of receipt;complete;Group 1;510.504
case-4057;T02 Check confirmation of receipt-complete;Resource19;2010/11/04 10:25:04.170;Variant 14;14;e-mail;General;;Resource07;task-754;T02 Check confirmation of receipt;complete;EMPTY;95568.573
case-4057;T04 Determine confirmation of receipt-complete;Resource10;2010/11/11 14:56:32.965;Variant 14;14;e-mail;General;;Resource07;task-851;T04 Determine confirmation of receipt;complete;Group 3;621088.795
case-4057;T05 Print and send confirmation of receipt-complete;admin1;2010/11/16 10:06:20.910;Variant 14;14;e-mail;General;;Resource07;task-1403;T05 Print and send confirmation of receipt;complete;Group 2;414587.945
case-4058;Confirmation of receipt-complete;Resource11;2010/11/03 07:58:51.869;Variant 2;2;e-mail;General;;Resource07;task-452;Confirmation of receipt;complete;Group 1;0.0
case-4058;T06 Determine necessity of stop advice-complete;Resource11;2010/11/03 07:59:55.594;Variant 2;2;e-mail;General;;Resource07;task-756;T06 Determine necessity of stop advice;complete;Group 1;63.725
case-4058;T10 Determine necessity to stop indication-complete;Resource11;2010/11/03 08:00:44.893;Variant 2;2;e-mail;General;;Resource07;task-757;T10 Determine necessity to stop indication;complete;Group 1;49.299
case-4058;T02 Check confirmation of receipt-complete;Resource19;2010/11/04 10:20:57.159;Variant 2;2;e-mail;General;;Resource07;task-755;T02 Check confirmation of receipt;complete;EMPTY;94812.266
case-4058;T04 Determine confirmation of receipt-complete;Resource10;2010/11/11 14:38:59.844;Variant 2;2;e-mail;General;;Resource07;task-850;T04 Determine confirmation of receipt;complete;Group 3;620282.685
case-4058;T05 Print and send confirmation of receipt-complete;admin1;2010/11/16 10:20:22.813;Variant 2;2;e-mail;General;;Resource07;task-1401;T05 Print and send confirmation of receipt;complete;Group 2;416482.969
case-4059;Confirmation of receipt-complete;Resource11;2010/11/03 08:28:13.934;Variant 2;2;e-mail;General;;Resource07;task-464;Confirmation of receipt;complete;Group 1;0.0
case-4059;T06 Determine necessity of stop advice-complete;Resource11;2010/11/03 08:29:04.356;Variant 2;2;e-mail;General;;Resource07;task-767;T06 Determine necessity of stop advice;complete;Group 1;50.422
